empresa,faturamento_empresa_brl,produto,tipo_cliente,mercado_principal,indice_concorrencia_1a5,indice_valor_agregado_1a5,margem_media_percentual,indice_complexidade_produtiva_1a5,indice_capex_1a5,indice_escalabilidade_1a5,indice_exigencia_regulatoria_1a5,certificacoes_principais,indice_compatibilidade_refugo_1a5,indice_compatibilidade_operacao_fazenda_1a5
BioManga Circular,120000000.0,Purê de manga asséptico,B2C,Interno,3.0,3.5,41.9,4.0,4.0,1.0,3.0,ISO/HACCP,4.0,2.0
Ambev (bebidas),72000000000.0,Base cosmética (extrato),B2C,Ambos,3.0,3.0,26.58,4.0,2.0,4.0,2.0,ISO/HACCP,2.0,2.0
MangaTech Foods,760000000.0,Fragrância para perfumaria,B2B,Ambos,3.0,3.0,27.7,3.0,5.0,3.0,3.0,ISO/HACCP,1.0,2.0
Cutrale,30000000000.0,Esfoliante natural,B2C,Externo,5.0,3.0,34.37,3.0,2.0,4.0,3.0,Nenhuma,2.0,2.0
MangaVale Alimentos,480000000.0,nao informado,B2B,Interno,4.0,2.5,19.7,1.0,3.0,4.0,4.0,Nenhuma,3.0,3.0
MangaTech Foods,760000000.0,Ingrediente antioxidante,B2C,Externo,3.0,3.0,23.29,3.0,5.0,2.0,3.0,MAPA,1.0,4.0
nao informado,9000000000.0,Fragrância para perfumaria,B2B,Ambos,3.0,4.0,27.93,4.0,3.0,3.0,4.0,Nenhuma,1.0,1.0
TropFruit Ingredients,650000000.0,Corante natural,B2B,Interno,2.0,3.0,26.68,3.0,3.0,3.0,3.0,MAPA,1.0,3.0
Fazenda Sol do Vale,180000000.0,Snack de manga desidratada,B2B,Interno,4.0,2.0,31.64,2.0,3.0,3.0,2.0,nao informado,2.0,1.0
MangaVale Alimentos,480000000.0,Corante natural,B2C,Interno,3.0,3.5,31.95,5.0,5.0,3.0,2.0,nao informado,2.0,3.0
TropFruit Ingredients,650000000.0,Pó de manga (spray-dried),B2B,Interno,4.0,2.5,28.35,3.0,2.0,3.0,2.0,MAPA,2.0,3.0
Cargill Brasil,4200000000.0,Manga desidratada em pedaços,B2B,Externo,2.0,3.0,23.34,4.0,3.0,4.0,2.0,ANVISA,4.0,2.0
Citrosuco,25000000000.0,Aroma / extrato natural,B2B,Externo,2.0,4.0,47.33,3.0,5.0,2.0,5.0,ANVISA,4.0,1.0
TropFruit Ingredients,650000000.0,Cubos IQF,B2B,Interno,5.0,2.0,24.32,3.0,4.0,4.0,3.0,MAPA,1.0,3.0
Fazenda Sol do Vale,180000000.0,nao informado,B2B,Interno,3.0,2.5,40.58,3.0,2.0,3.0,2.0,Nenhuma,4.0,3.0
VerdePulp Brasil,4200000000.0,Bebida alcoólica / fermentado,B2B,Ambos,3.0,2.5,27.93,3.0,1.0,5.0,2.0,Internacional,3.0,4.0
MangaVale Alimentos,480000000.0,Sorbet / picolé,B2C,Interno,1.0,3.5,28.32,4.0,1.0,3.0,3.0,Nenhuma,3.0,1.0
Fazenda Sol do Vale,180000000.0,Sabonete / hidratante com manga,B2B,Externo,3.0,1.5,17.67,2.0,5.0,4.0,1.0,ANVISA,2.0,2.0
Cutrale,30000000000.0,Ingrediente antioxidante,B2C,Externo,2.0,3.0,34.86,3.0,5.0,2.0,3.0,ANVISA,1.0,4.0
Bunge Brasil,95000000000.0,Geleia/compota,B2B,Externo,1.0,2.0,30.22,3.0,3.0,5.0,1.0,Nenhuma,1.0,3.0
Citrosuco,25000000000.0,Aroma / extrato natural,B2B,Externo,3.0,4.5,31.76,4.0,4.0,3.0,5.0,Internacional,1.0,3.0
Fazenda Sol do Vale,180000000.0,Purê de manga asséptico,B2B,Interno,2.0,3.0,27.93,3.0,2.0,3.0,3.0,Internacional,1.0,1.0
TropFruit Ingredients,650000000.0,Concentrado de manga,B2C,Interno,3.0,2.5,38.28,3.0,4.0,3.0,2.0,Internacional,1.0,5.0
BRF Ingredients,53000000000.0,Sorbet / picolé,B2B,nao informado,1.0,3.0,41.93,4.0,1.0,3.0,1.0,ISO/HACCP,3.0,1.0
Duas Rodas,4200000000.0,Óleo / manteiga de semente de manga,B2C,Interno,5.0,3.0,25.2,3.0,2.0,3.0,3.0,ISO/HACCP,1.0,5.0
nao informado,220000000.0,Pó de manga (spray-dried),B2B,Externo,1.0,2.5,22.03,3.0,2.0,2.0,2.0,MAPA,2.0,1.0
Bunge Brasil,95000000000.0,Pectina,B2B,Ambos,2.0,3.0,25.93,3.0,2.0,4.0,3.0,MAPA,3.0,1.0
AgroDoce Nordeste,220000000.0,Ingrediente antioxidante,B2B,Interno,3.0,2.0,17.56,3.0,5.0,5.0,1.0,ANVISA,5.0,1.0
Kerry do Brasil,9000000000.0,Base para néctar,B2B,Externo,4.0,2.0,21.59,3.0,2.0,3.0,1.0,ISO/HACCP,5.0,1.0
BRF Ingredients,53000000000.0,Subproduto industrial de bagaço processado,B2C,Ambos,5.0,3.0,30.45,4.0,5.0,4.0,2.0,MAPA,2.0,2.0
VerdePulp Brasil,310000000.0,Manga desidratada em pedaços,B2B,Ambos,3.0,3.5,21.46,3.0,3.0,4.0,4.0,Nenhuma,3.0,2.0
BioManga Circular,120000000.0,Sabonete / hidratante com manga,B2B,Interno,5.0,2.0,23.79,2.0,1.0,4.0,2.0,ISO/HACCP,3.0,2.0
BRF Ingredients,53000000000.0,nao informado,B2B,Interno,3.0,3.0,18.82,4.0,3.0,3.0,2.0,MAPA,3.0,1.0
Ambev (bebidas),72000000000.0,Molho agridoce / culinário,B2B,Externo,3.0,2.0,21.88,2.0,1.0,3.0,2.0,Internacional,2.0,1.0
Fazenda Sol do Vale,180000000.0,Molho agridoce / culinário,B2B,Interno,2.0,2.5,17.61,3.0,5.0,5.0,2.0,Nenhuma,1.0,1.0
nao informado,30000000000.0,Bebida funcional com manga,B2B,Externo,3.0,3.5,31.31,4.0,2.0,4.0,3.0,Internacional,1.0,2.0
MangaTech Foods,760000000.0,Geleia/compota,B2C,Interno,3.0,2.0,12.79,2.0,4.0,4.0,2.0,Internacional,1.0,3.0
MangaVale Alimentos,480000000.0,Bebida alcoólica / fermentado,B2C,Interno,4.0,3.0,38.4,3.0,3.0,5.0,3.0,ANVISA,1.0,2.0
Citrosuco,25000000000.0,Polpa congelada,B2C,Externo,1.0,3.0,33.85,3.0,4.0,1.0,3.0,MAPA,2.0,4.0
VerdePulp Brasil,310000000.0,Manga desidratada em pedaços,B2B,Interno,3.0,2.5,25.49,2.0,1.0,3.0,3.0,ANVISA,1.0,2.0
BRF Ingredients,53000000000.0,Pó de manga (spray-dried),B2B,Externo,3.0,3.0,43.11,3.0,1.0,4.0,3.0,ISO/HACCP,1.0,1.0
Fazenda Sol do Vale,180000000.0,Snack de manga desidratada,B2B,Externo,2.0,3.0,46.03,3.0,4.0,4.0,3.0,ISO/HACCP,3.0,2.0
NordFruit Export,540000000.0,Molho agridoce / culinário,B2B,Externo,3.0,4.5,39.64,5.0,2.0,2.0,4.0,ISO/HACCP,3.0,4.0
Louis Dreyfus Company Brasil,18000000000.0,Óleo / manteiga de semente de manga,B2C,Externo,5.0,3.0,46.17,3.0,2.0,3.0,3.0,ISO/HACCP,1.0,1.0
NordFruit Export,540000000.0,nao informado,B2C,Interno,2.0,2.0,28.78,3.0,5.0,4.0,1.0,MAPA,1.0,3.0
MangaTech Foods,760000000.0,Sorbet / picolé,B2B,Interno,1.0,5.0,44.75,5.0,3.0,4.0,5.0,ISO/HACCP,2.0,2.0
Citrosuco,25000000000.0,nao informado,B2B,Interno,2.0,2.5,11.69,3.0,1.0,4.0,2.0,MAPA,1.0,5.0
JBS Ingredients,375000000000.0,Fragrância para perfumaria,B2B,Externo,2.0,3.5,31.65,2.0,4.0,1.0,5.0,MAPA,1.0,5.0
Fazenda Sol do Vale,180000000.0,Geleia/compota,B2C,Externo,3.0,3.5,27.29,4.0,2.0,4.0,3.0,Nenhuma,2.0,2.0
Louis Dreyfus Company Brasil,18000000000.0,Subproduto industrial de bagaço processado,B2B,Ambos,1.0,4.0,27.93,3.0,2.0,4.0,5.0,Internacional,2.0,2.0
Cutrale,30000000000.0,Pectina,B2B,Ambos,3.0,2.0,42.65,3.0,4.0,2.0,1.0,Nenhuma,5.0,2.0
Cutrale,4200000000.0,Subproduto industrial de bagaço processado,B2B,Externo,4.0,2.0,23.35,2.0,4.0,4.0,2.0,Nenhuma,1.0,1.0
Cutrale,30000000000.0,Sabonete / hidratante com manga,B2B,Interno,4.0,2.0,17.85,1.0,2.0,2.0,3.0,Nenhuma,2.0,2.0
TropFruit Ingredients,650000000.0,Ingrediente antioxidante,B2C,Ambos,1.0,1.5,32.97,2.0,1.0,5.0,1.0,ISO/HACCP,1.0,3.0
MangaVale Alimentos,480000000.0,Cubos IQF,B2B,Interno,4.0,2.0,28.14,2.0,2.0,2.0,2.0,Nenhuma,4.0,4.0
Citrosuco,25000000000.0,Biocomposto / fertilizante orgânico,B2B,Interno,4.0,1.5,8.84,2.0,2.0,4.0,1.0,nao informado,4.0,1.0
Kerry do Brasil,9000000000.0,Biogás / energia,B2B,Interno,2.0,3.0,16.4,3.0,3.0,4.0,2.0,Nenhuma,4.0,1.0
MangaVale Alimentos,480000000.0,Bebida alcoólica / fermentado,B2B,Interno,3.0,2.0,23.24,3.0,2.0,3.0,1.0,ANVISA,2.0,4.0
Louis Dreyfus Company Brasil,18000000000.0,nao informado,B2C,Ambos,4.0,4.0,30.11,5.0,2.0,3.0,3.0,nao informado,2.0,3.0
VerdePulp Brasil,310000000.0,Bebida funcional com manga,B2B,Interno,3.0,3.5,32.54,2.0,1.0,3.0,5.0,ISO/HACCP,2.0,1.0
Fazenda Sol do Vale,180000000.0,Pó de manga (spray-dried),B2B,Externo,4.0,3.5,27.69,4.0,5.0,3.0,3.0,MAPA,1.0,2.0
Kerry do Brasil,9000000000.0,Geleia/compota,B2C,Interno,4.0,2.0,35.56,3.0,2.0,4.0,1.0,ANVISA,3.0,1.0
MangaVale Alimentos,480000000.0,Esfoliante natural,B2C,Externo,1.0,2.0,37.77,3.0,2.0,2.0,1.0,ANVISA,2.0,3.0
Cargill Brasil,115000000000.0,Biogás / energia,B2C,Interno,5.0,2.0,12.49,2.0,1.0,3.0,2.0,Internacional,2.0,1.0
nao informado,9000000000.0,nao informado,nao informado,Interno,3.0,2.5,19.95,2.0,3.0,4.0,3.0,ANVISA,1.0,1.0
VerdePulp Brasil,310000000.0,Ração / ingrediente para ração animal,B2C,Ambos,3.0,2.0,37.58,3.0,3.0,3.0,1.0,Internacional,1.0,1.0
BioManga Circular,120000000.0,Aroma / extrato natural,B2B,Interno,3.0,4.5,18.85,5.0,3.0,2.0,4.0,MAPA,1.0,2.0
nao informado,650000000.0,Pectina,B2B,Ambos,3.0,2.0,35.95,2.0,4.0,2.0,2.0,ISO/HACCP,4.0,3.0
Cutrale,30000000000.0,Bebida alcoólica / fermentado,B2B,Ambos,4.0,3.0,21.72,4.0,5.0,4.0,2.0,MAPA,4.0,2.0
Kerry do Brasil,9000000000.0,Esfoliante natural,B2B,Interno,5.0,2.5,38.45,2.0,3.0,4.0,3.0,MAPA,1.0,1.0
VerdePulp Brasil,310000000.0,Ingrediente antioxidante,B2B,Ambos,3.0,2.5,27.93,4.0,3.0,4.0,1.0,ISO/HACCP,1.0,1.0
Duas Rodas,4200000000.0,Fibra alimentar de manga,B2B,Interno,1.0,3.0,43.48,3.0,3.0,4.0,3.0,MAPA,1.0,2.0
Duas Rodas,4200000000.0,Fragrância para perfumaria,B2B,Interno,3.0,2.0,10.73,3.0,1.0,3.0,1.0,Internacional,1.0,1.0
MangaVale Alimentos,480000000.0,Fibra alimentar de manga,B2C,Externo,3.0,3.5,13.86,5.0,3.0,4.0,2.0,Nenhuma,3.0,2.0
AgroDoce Nordeste,220000000.0,Pectina,B2C,Interno,4.0,3.5,18.75,5.0,3.0,5.0,2.0,Nenhuma,1.0,1.0
Cargill Brasil,115000000000.0,nao informado,B2B,Interno,3.0,2.0,18.05,2.0,3.0,2.0,2.0,Nenhuma,1.0,1.0
Duas Rodas,4200000000.0,Ingrediente antioxidante,B2B,Interno,3.0,3.0,25.48,3.0,3.0,3.0,2.0,Nenhuma,1.0,1.0
BioManga Circular,120000000.0,Manga desidratada em pedaços,B2B,Interno,3.0,3.0,35.96,3.0,2.0,4.0,3.0,Nenhuma,2.0,2.0
JBS Ingredients,375000000000.0,Purê de manga asséptico,B2B,Interno,3.0,2.0,39.32,2.0,1.0,4.0,3.0,Nenhuma,4.0,1.0
Cargill Brasil,115000000000.0,Subproduto industrial de bagaço processado,B2B,Ambos,5.0,3.0,26.12,5.0,2.0,4.0,1.0,MAPA,1.0,3.0
MangaTech Foods,760000000.0,Manga desidratada em pedaços,B2B,Ambos,2.0,5.0,25.95,5.0,2.0,2.0,5.0,MAPA,5.0,5.0
nao informado,310000000.0,Chutney de manga,B2C,Ambos,5.0,3.0,29.46,4.0,2.0,3.0,3.0,ANVISA,4.0,1.0
AgroDoce Nordeste,220000000.0,Snack de manga desidratada,nao informado,Ambos,3.0,3.0,26.82,3.0,3.0,4.0,3.0,MAPA,4.0,5.0
MangaTech Foods,760000000.0,Ingrediente antioxidante,B2C,Externo,3.0,2.5,19.61,3.0,2.0,2.0,2.0,MAPA,3.0,4.0
Cargill Brasil,115000000000.0,Bebida funcional com manga,B2B,Externo,2.0,2.5,22.14,3.0,3.0,4.0,2.0,ANVISA,2.0,2.0
Bunge Brasil,95000000000.0,Snack de manga desidratada,B2B,Externo,1.0,3.0,20.33,3.0,5.0,2.0,2.0,Internacional,2.0,3.0
BRF Ingredients,53000000000.0,Biocomposto / fertilizante orgânico,B2C,Ambos,3.0,4.5,52.55,5.0,1.0,4.0,4.0,MAPA,2.0,5.0
Ambev (bebidas),72000000000.0,Molho agridoce / culinário,B2C,Interno,1.0,3.5,13.78,4.0,5.0,4.0,3.0,ANVISA,1.0,2.0
Duas Rodas,4200000000.0,Ingrediente antioxidante,B2B,Externo,4.0,3.5,37.37,5.0,3.0,4.0,2.0,Internacional,4.0,4.0
Cargill Brasil,4200000000.0,Geleia/compota,B2B,Interno,2.0,3.0,22.9,2.0,2.0,5.0,3.0,MAPA,2.0,4.0
Cutrale,30000000000.0,Esfoliante natural,B2B,Interno,4.0,4.5,49.72,4.0,2.0,3.0,5.0,MAPA,2.0,1.0
VerdePulp Brasil,310000000.0,Concentrado de manga,B2B,Ambos,5.0,4.0,20.4,3.0,3.0,2.0,5.0,ANVISA,4.0,5.0
MangaTech Foods,760000000.0,Snack de manga desidratada,B2C,Interno,3.0,3.0,13.85,4.0,4.0,4.0,3.0,ANVISA,1.0,1.0
BioManga Circular,120000000.0,Cubos IQF,B2B,Interno,2.0,2.0,27.93,2.0,2.0,4.0,2.0,ANVISA,2.0,1.0
MangaTech Foods,4200000000.0,Aroma / extrato natural,B2B,Externo,2.0,4.5,27.42,5.0,1.0,4.0,4.0,Nenhuma,4.0,1.0
Kerry do Brasil,9000000000.0,Bebida alcoólica / fermentado,B2B,Interno,2.0,2.5,20.89,3.0,3.0,4.0,2.0,Nenhuma,4.0,2.0
MangaVale Alimentos,480000000.0,Subproduto industrial de bagaço processado,B2B,Externo,2.0,4.0,32.24,4.0,4.0,4.0,4.0,MAPA,1.0,1.0
Kerry do Brasil,9000000000.0,Chutney de manga,B2C,Interno,1.0,2.5,19.27,3.0,3.0,2.0,2.0,ANVISA,3.0,4.0
Citrosuco,25000000000.0,Aroma / extrato natural,B2B,Interno,3.0,2.5,24.14,2.0,5.0,3.0,3.0,MAPA,1.0,2.0
TropFruit Ingredients,650000000.0,Subproduto industrial de bagaço processado,B2B,Interno,1.0,1.5,23.89,2.0,5.0,3.0,1.0,Nenhuma,2.0,1.0
nao informado,540000000.0,Chutney de manga,B2B,Interno,2.0,4.0,17.88,4.0,1.0,2.0,4.0,ISO/HACCP,1.0,1.0
TropFruit Ingredients,650000000.0,Bebida funcional com manga,B2B,Ambos,3.0,4.0,41.72,4.0,2.0,5.0,4.0,MAPA,1.0,5.0
MangaTech Foods,760000000.0,Fibra alimentar de manga,B2B,nao informado,3.0,3.0,18.9,1.0,1.0,2.0,5.0,ISO/HACCP,4.0,3.0
NordFruit Export,540000000.0,nao informado,B2B,Interno,2.0,3.0,32.04,3.0,4.0,5.0,3.0,ANVISA,1.0,1.0
Cargill Brasil,115000000000.0,Purê de manga asséptico,B2B,Externo,3.0,3.0,31.97,4.0,2.0,4.0,2.0,MAPA,3.0,2.0
JBS Ingredients,4200000000.0,Chutney de manga,B2C,Externo,3.0,5.0,35.33,5.0,4.0,2.0,5.0,MAPA,4.0,3.0
Ambev (bebidas),72000000000.0,Bebida funcional com manga,B2B,Ambos,2.0,3.5,40.4,3.0,1.0,3.0,4.0,MAPA,1.0,3.0
nao informado,18000000000.0,Sorbet / picolé,B2B,Interno,5.0,3.0,13.82,4.0,5.0,4.0,2.0,MAPA,4.0,2.0
AgroDoce Nordeste,220000000.0,nao informado,B2C,Interno,3.0,3.0,27.93,3.0,5.0,4.0,3.0,ISO/HACCP,2.0,4.0
VerdePulp Brasil,310000000.0,Purê de manga asséptico,B2B,Externo,2.0,3.0,19.16,3.0,4.0,4.0,3.0,MAPA,3.0,4.0
BioManga Circular,120000000.0,Fibra alimentar de manga,B2C,Externo,5.0,4.0,13.17,4.0,2.0,2.0,4.0,ANVISA,4.0,2.0
Fazenda Sol do Vale,180000000.0,Pó de manga (spray-dried),B2B,Ambos,3.0,2.5,30.41,2.0,1.0,2.0,3.0,ISO/HACCP,4.0,1.0
Kerry do Brasil,9000000000.0,Manga desidratada em pedaços,B2B,Interno,3.0,1.5,11.82,1.0,3.0,3.0,2.0,ANVISA,2.0,3.0
Louis Dreyfus Company Brasil,18000000000.0,nao informado,B2C,Interno,3.0,3.0,17.19,3.0,3.0,3.0,3.0,MAPA,2.0,3.0
Citrosuco,25000000000.0,Geleia/compota,B2C,Interno,3.0,3.5,21.49,4.0,2.0,2.0,3.0,nao informado,2.0,2.0
BRF Ingredients,53000000000.0,Corante natural,B2B,Ambos,4.0,2.5,14.54,2.0,2.0,5.0,3.0,ANVISA,3.0,2.0
Citrosuco,25000000000.0,Sabonete / hidratante com manga,B2B,Externo,3.0,3.5,36.76,3.0,5.0,4.0,4.0,MAPA,3.0,3.0
MangaTech Foods,760000000.0,Suco pronto (NFC),B2B,Externo,3.0,4.5,25.67,4.0,3.0,3.0,5.0,Internacional,1.0,3.0
Bunge Brasil,95000000000.0,Purê de manga asséptico,B2B,Externo,1.0,1.5,36.78,2.0,2.0,5.0,1.0,Internacional,3.0,2.0
nao informado,115000000000.0,Fibra alimentar de manga,B2B,Interno,2.0,3.0,32.6,2.0,2.0,3.0,4.0,ANVISA,2.0,3.0
AgroDoce Nordeste,220000000.0,Subproduto industrial de bagaço processado,B2B,Interno,3.0,3.0,28.37,2.0,1.0,3.0,3.0,ANVISA,1.0,2.0
Fazenda Sol do Vale,180000000.0,Base para néctar,B2B,Interno,2.0,3.0,43.57,1.0,1.0,4.0,5.0,ANVISA,2.0,5.0
Louis Dreyfus Company Brasil,18000000000.0,Polpa congelada,B2B,Interno,1.0,3.0,27.17,3.0,5.0,2.0,3.0,ANVISA,3.0,4.0
BioManga Circular,120000000.0,Purê de manga asséptico,B2B,Interno,3.0,3.5,29.01,4.0,3.0,1.0,3.0,Nenhuma,1.0,1.0
Citrosuco,25000000000.0,Purê de manga asséptico,B2C,Ambos,3.0,3.0,41.58,4.0,3.0,4.0,2.0,ANVISA,1.0,2.0
Fazenda Sol do Vale,180000000.0,Snack de manga desidratada,B2B,Externo,3.0,3.5,24.97,4.0,5.0,3.0,3.0,ANVISA,2.0,5.0
NordFruit Export,540000000.0,Polpa congelada,B2C,Ambos,2.0,2.5,33.05,2.0,2.0,2.0,3.0,ANVISA,2.0,2.0
NordFruit Export,540000000.0,Snack de manga desidratada,B2B,Interno,4.0,4.5,25.31,4.0,3.0,3.0,5.0,ISO/HACCP,4.0,2.0
Cutrale,30000000000.0,Pó de manga (spray-dried),nao informado,Externo,3.0,3.5,25.79,4.0,3.0,4.0,3.0,MAPA,2.0,3.0
BRF Ingredients,53000000000.0,Bebida funcional com manga,B2B,Interno,4.0,2.5,31.91,3.0,2.0,2.0,2.0,nao informado,3.0,3.0
Fazenda Sol do Vale,180000000.0,Ingrediente antioxidante,B2B,Interno,3.0,3.0,44.36,3.0,3.0,4.0,3.0,Nenhuma,2.0,4.0
Duas Rodas,4200000000.0,Subproduto industrial de bagaço processado,B2B,Interno,1.0,4.5,18.7,4.0,3.0,3.0,5.0,Internacional,1.0,1.0
BRF Ingredients,53000000000.0,Bebida alcoólica / fermentado,B2B,Interno,4.0,1.5,40.22,3.0,2.0,3.0,1.0,ISO/HACCP,1.0,5.0
AgroDoce Nordeste,220000000.0,Suco pronto (NFC),B2C,Externo,3.0,3.5,12.31,5.0,3.0,2.0,2.0,ISO/HACCP,2.0,1.0
BRF Ingredients,53000000000.0,Sorbet / picolé,B2C,Externo,2.0,3.5,21.73,5.0,3.0,2.0,2.0,ISO/HACCP,1.0,2.0
Cargill Brasil,4200000000.0,Polpa congelada,B2B,Externo,2.0,2.0,34.27,2.0,3.0,4.0,2.0,Nenhuma,1.0,1.0
BRF Ingredients,53000000000.0,Manga desidratada em pedaços,B2B,Externo,3.0,4.0,27.93,5.0,4.0,2.0,3.0,ANVISA,3.0,2.0
VerdePulp Brasil,310000000.0,Biogás / energia,B2C,Interno,2.0,3.0,22.33,4.0,3.0,2.0,2.0,MAPA,3.0,1.0
Ambev (bebidas),72000000000.0,Base cosmética (extrato),B2B,Ambos,4.0,2.5,17.11,3.0,3.0,5.0,2.0,Nenhuma,2.0,4.0
BRF Ingredients,53000000000.0,nao informado,B2B,Interno,3.0,3.0,16.21,4.0,4.0,4.0,2.0,Nenhuma,1.0,3.0
Cutrale,30000000000.0,Ração / ingrediente para ração animal,B2B,Interno,4.0,4.0,47.35,3.0,2.0,3.0,5.0,MAPA,3.0,2.0
BioManga Circular,120000000.0,nao informado,B2C,Interno,3.0,4.5,49.38,4.0,3.0,3.0,5.0,Nenhuma,3.0,3.0
TropFruit Ingredients,650000000.0,Fibra alimentar de manga,B2B,Interno,3.0,3.0,45.51,3.0,2.0,4.0,4.0,MAPA,3.0,3.0
Louis Dreyfus Company Brasil,18000000000.0,Bebida alcoólica / fermentado,B2C,Interno,3.0,3.0,15.57,4.0,3.0,4.0,2.0,Internacional,1.0,4.0
MangaTech Foods,760000000.0,Manga desidratada em pedaços,B2B,Interno,4.0,1.5,27.93,2.0,5.0,2.0,1.0,ISO/HACCP,3.0,4.0
MangaVale Alimentos,480000000.0,Chutney de manga,B2C,Interno,3.0,4.5,21.88,4.0,1.0,3.0,5.0,MAPA,2.0,2.0
TropFruit Ingredients,650000000.0,nao informado,B2B,Externo,2.0,3.5,48.56,3.0,2.0,4.0,4.0,ISO/HACCP,2.0,3.0
Ambev (bebidas),72000000000.0,Manga desidratada em pedaços,B2C,Interno,3.0,3.5,27.98,3.0,3.0,3.0,4.0,MAPA,4.0,4.0
Louis Dreyfus Company Brasil,18000000000.0,Biogás / energia,B2B,Interno,3.0,2.0,32.76,3.0,5.0,4.0,1.0,ISO/HACCP,2.0,1.0
MangaTech Foods,760000000.0,Suco pronto (NFC),nao informado,Interno,2.0,2.0,40.23,2.0,4.0,5.0,3.0,ANVISA,1.0,3.0
Cargill Brasil,115000000000.0,Corante natural,B2B,Ambos,4.0,1.5,21.28,2.0,3.0,4.0,1.0,MAPA,1.0,2.0
JBS Ingredients,375000000000.0,Sorbet / picolé,B2B,Externo,1.0,2.5,13.42,2.0,4.0,2.0,3.0,ISO/HACCP,1.0,4.0
TropFruit Ingredients,650000000.0,Óleo / manteiga de semente de manga,B2B,Ambos,4.0,2.0,17.86,2.0,2.0,4.0,2.0,ANVISA,3.0,2.0
BioManga Circular,120000000.0,Sorbet / picolé,B2B,Externo,1.0,3.0,39.0,2.0,4.0,2.0,4.0,ANVISA,3.0,4.0
BioManga Circular,120000000.0,Polpa congelada,B2B,Interno,2.0,3.0,18.54,2.0,3.0,3.0,4.0,MAPA,2.0,4.0
MangaTech Foods,760000000.0,Molho agridoce / culinário,B2C,Externo,4.0,3.5,19.31,5.0,1.0,2.0,2.0,Nenhuma,3.0,3.0
Cargill Brasil,115000000000.0,Corante natural,B2B,Interno,1.0,2.5,34.89,3.0,3.0,1.0,2.0,Internacional,4.0,5.0
JBS Ingredients,375000000000.0,Base cosmética (extrato),B2B,Externo,3.0,3.5,19.46,5.0,5.0,3.0,2.0,ANVISA,4.0,5.0
JBS Ingredients,375000000000.0,Concentrado de manga,B2B,Interno,2.0,3.0,27.84,3.0,4.0,5.0,3.0,Nenhuma,4.0,2.0
NordFruit Export,540000000.0,Ingrediente antioxidante,B2B,Interno,3.0,2.0,31.11,3.0,2.0,3.0,1.0,Nenhuma,3.0,3.0
Ambev (bebidas),72000000000.0,Geleia/compota,B2B,Externo,3.0,2.5,36.84,3.0,4.0,2.0,2.0,ISO/HACCP,2.0,3.0
Cutrale,30000000000.0,Pectina,B2C,nao informado,3.0,3.0,20.84,2.0,2.0,3.0,4.0,Nenhuma,1.0,1.0
Cutrale,30000000000.0,Fragrância para perfumaria,B2B,Interno,1.0,3.5,30.12,4.0,2.0,4.0,3.0,ISO/HACCP,3.0,3.0
Bunge Brasil,95000000000.0,Óleo / manteiga de semente de manga,nao informado,Ambos,4.0,3.0,16.92,3.0,2.0,3.0,1.0,ISO/HACCP,2.0,2.0
Fazenda Sol do Vale,180000000.0,Bebida funcional com manga,B2C,Interno,3.0,2.5,16.5,2.0,5.0,2.0,3.0,Nenhuma,1.0,3.0
Fazenda Sol do Vale,180000000.0,Base para néctar,B2B,Ambos,1.0,1.0,8.88,1.0,4.0,1.0,1.0,Nenhuma,3.0,5.0
Cutrale,4200000000.0,Base para néctar,B2B,Interno,3.0,3.5,15.87,3.0,2.0,2.0,4.0,Nenhuma,3.0,1.0
Duas Rodas,4200000000.0,Fibra alimentar de manga,nao informado,Interno,4.0,2.0,35.58,1.0,4.0,3.0,3.0,Internacional,5.0,2.0
MangaTech Foods,760000000.0,Molho agridoce / culinário,B2C,Interno,3.0,2.5,30.34,4.0,4.0,2.0,1.0,MAPA,3.0,2.0
Citrosuco,25000000000.0,Base para néctar,B2B,Interno,4.0,2.0,37.75,2.0,1.0,2.0,2.0,ANVISA,1.0,4.0
BioManga Circular,120000000.0,Cubos IQF,B2B,Interno,3.0,3.0,22.11,3.0,5.0,3.0,5.0,ISO/HACCP,1.0,2.0
Kerry do Brasil,9000000000.0,Fibra alimentar de manga,B2C,Interno,3.0,3.5,30.68,4.0,4.0,4.0,3.0,Nenhuma,1.0,5.0
Kerry do Brasil,9000000000.0,Chutney de manga,B2B,Interno,5.0,4.0,49.01,5.0,2.0,3.0,3.0,MAPA,1.0,1.0
BioManga Circular,120000000.0,Manga desidratada em pedaços,B2C,Interno,2.0,3.0,34.18,4.0,3.0,2.0,2.0,MAPA,3.0,3.0
BioManga Circular,120000000.0,Subproduto industrial de bagaço processado,B2B,Interno,3.0,3.0,26.57,4.0,2.0,4.0,2.0,ISO/HACCP,1.0,2.0
nao informado,375000000000.0,Geleia/compota,B2B,Externo,5.0,3.0,24.06,2.0,2.0,3.0,4.0,MAPA,4.0,1.0
VerdePulp Brasil,310000000.0,Purê de manga asséptico,B2C,Ambos,2.0,4.0,27.69,3.0,3.0,2.0,5.0,ANVISA,4.0,4.0
Louis Dreyfus Company Brasil,18000000000.0,Base cosmética (extrato),B2C,Externo,3.0,3.0,28.12,2.0,3.0,3.0,4.0,ANVISA,1.0,1.0
Ambev (bebidas),72000000000.0,Pó de manga (spray-dried),B2C,Interno,3.0,3.5,41.22,4.0,2.0,2.0,3.0,Nenhuma,1.0,1.0
